,time,mn_110,mw_110,DPI_110,mn_120,mw_120,DPI_120,mn_130,mw_130,DPI_130
0,2,226,233,1.0309734513274336,281,784,2.7900355871886116,430,665,1.5465116279069768
1,4,254,281,1.1062992125984252,313,365,1.1661341853035143,315,425,1.3492063492063493
2,6,221,231,1.0452488687782806,289,323,1.1176470588235294,437,649,1.4851258581235698
3,8,275,342,1.2436363636363637,308,390,1.2662337662337662,484,828,1.7107438016528926
4,10,313,365,1.1661341853035143,422,653,1.5473933649289098,585,994,1.699145299145299
5,12,289,323,1.1176470588235294,344,757,2.2005813953488373,495,880,1.7777777777777777
6,14,308,390,1.2662337662337662,354,784,2.214689265536723,638,1540,2.413793103448276
7,16,332,471,1.4186746987951808,527,951,1.8045540796963944,710,1529,2.1535211267605634
8,18,327,466,1.4250764525993884,420,1113,2.65,686,1928,2.8104956268221573
9,20,321,451,1.4049844236760125,468,1130,2.4145299145299144,716,2124,2.9664804469273744
10,22,339,423,1.247787610619469,453,1144,2.525386313465784,760,1998,2.6289473684210525
11,24,328,393,1.1981707317073171,706,1328,1.8810198300283285,1007,2774,2.7547169811320757
